2023-06-23 00:12:54 result: , param:15068.59-111:-2857.2000000000000
2023-06-23 00:12:56 result: , param:15068.59-111:-2933.3000000000000
2023-06-23 00:12:58 result: , param:15068.59-111:-2878.0000000000000
2023-06-23 00:13:00 result: , param:15068.59-111:-2878.0000000000000
2023-06-23 00:13:02 result: , param:15068.59-111:-2878.0000000000000
2023-06-23 00:13:04 result: , param:15068.59-111:-2933.4000000000000
2023-06-23 00:13:06 result: , param:15068.59-111:-2978.3000000000000
2023-06-23 00:13:08 result: , param:15068.59-111:-2978.2000000000000
2023-06-23 00:13:10 result: , param:15068.59-111:-3035.3000000000000
2023-06-23 00:13:12 result: , param:15068.59-111:-3035.3000000000000
2023-06-23 00:13:14 result: , param:15068.59-111:-3044.9000000000000
2023-06-23 00:13:16 result: , param:15068.59-111:-3044.9000000000000
2023-06-23 00:13:18 result: , param:15068.59-111:-3128.7000000000000
2023-06-23 00:13:20 result: , param:15068.59-111:-3120.4000000000000
2023-06-23 00:13:22 result: , param:15068.59-111:-3122.3000000000000
2023-06-23 00:13:24 result: , param:15068.59-111:-3055.0000000000000
2023-06-23 00:13:26 result: , param:15068.59-111:-3095.1000000000000
2023-06-23 00:13:28 result: , param:15068.59-111:-3118.3000000000000
